楽曲名,難易度,レベル,MAX
凛として咲く花の如く スプーキィテルミィンミックス,NOVICE,1,-1
凛として咲く花の如く スプーキィテルミィンミックス,ADVANCED,6,-1
凛として咲く花の如く スプーキィテルミィンミックス,EXHAUST,11,3859
凛として咲く花の如く スプーキィテルミィンミックス,INFINITE,15,4871
Rebellious stage,NOVICE,2,-1
Rebellious stage,ADVANCED,6,-1
Rebellious stage,EXHAUST,10,2621
Rebellious stage,INFINITE,13,3444
Love♡sicK,NOVICE,3,-1
Love♡sicK,ADVANCED,7,-1
Love♡sicK,EXHAUST,11,2988
Love♡Shine わんだふるmix,NOVICE,4,-1
Love♡Shine わんだふるmix,ADVANCED,7,-1
Love♡Shine わんだふるmix,EXHAUST,13,3472
MAX 300 takamatt MIN REMIX,NOVICE,4,-1
MAX 300 takamatt MIN REMIX,ADVANCED,9,-1
MAX 300 takamatt MIN REMIX,EXHAUST,13,2758
Broken 8cmix,NOVICE,6,-1
Broken 8cmix,ADVANCED,10,-1
Broken 8cmix,EXHAUST,14,3595
Broken 8cmix,HEAVENLY,18,5172
ふしぎなくすり いっきのみっくす,NOVICE,3,-1
ふしぎなくすり いっきのみっくす,ADVANCED,6,-1
ふしぎなくすり いっきのみっくす,EXHAUST,11,3487
ヒマワリ MUZIK SERVANT Remix,NOVICE,4,-1
ヒマワリ MUZIK SERVANT Remix,ADVANCED,8,-1
ヒマワリ MUZIK SERVANT Remix,EXHAUST,10,2908
PULSE LASER,NOVICE,2,-1
PULSE LASER,ADVANCED,7,-1
PULSE LASER,EXHAUST,12,3313
PULSE LASER,INFINITE,16,4604
バタフライキャット,NOVICE,3,-1
バタフライキャット,ADVANCED,8,-1
バタフライキャット,EXHAUST,13,3802
バタフライキャット,INFINITE,15,4700
Ha･lle･lu･jah,NOVICE,4,-1
Ha･lle･lu･jah,ADVANCED,7,-1
Ha･lle･lu･jah,EXHAUST,13,3671
Ha･lle･lu･jah,INFINITE,15,3793
西日暮里の踊り,NOVICE,4,-1
西日暮里の踊り,ADVANCED,7,-1
西日暮里の踊り,EXHAUST,12,2687
西日暮里の踊り,INFINITE,16,3921
ナナイロ,NOVICE,2,-1
ナナイロ,ADVANCED,7,-1
ナナイロ,EXHAUST,10,3742
ナナイロ,INFINITE,13,4188
とある少年の一日,NOVICE,3,-1
とある少年の一日,ADVANCED,7,-1
とある少年の一日,EXHAUST,12,3434
smooooch・∀・ KN mix,NOVICE,3,-1
smooooch・∀・ KN mix,ADVANCED,8,-1
smooooch・∀・ KN mix,EXHAUST,13,4552
SurVALI,NOVICE,3,-1
SurVALI,ADVANCED,8,-1
SurVALI,EXHAUST,11,3731
dilemma,NOVICE,2,-1
dilemma,ADVANCED,6,-1
dilemma,EXHAUST,10,2730
jet coaster☆girl sasakure.UK tRiCkStAr Remix,NOVICE,1,-1
jet coaster☆girl sasakure.UK tRiCkStAr Remix,ADVANCED,5,-1
jet coaster☆girl sasakure.UK tRiCkStAr Remix,EXHAUST,9,2637
ごりらがいるんだ,NOVICE,4,-1
ごりらがいるんだ,ADVANCED,8,-1
ごりらがいるんだ,EXHAUST,12,3516
ごりらがいるんだ ～かぼちゃが歌ってみたver～,INFINITE,15,4210
「月風魔伝」龍骨鬼戦 yks Remix,NOVICE,5,-1
「月風魔伝」龍骨鬼戦 yks Remix,ADVANCED,8,-1
「月風魔伝」龍骨鬼戦 yks Remix,EXHAUST,13,3486
「月風魔伝」龍骨鬼戦 yks Remix,INFINITE,16,4914
good high school,NOVICE,2,-1
good high school,ADVANCED,5,-1
good high school,EXHAUST,8,2677
good high school,INFINITE,17,4366
ガッテンだ!! Novoiski Remix,NOVICE,3,-1
ガッテンだ!! Novoiski Remix,ADVANCED,7,-1
ガッテンだ!! Novoiski Remix,EXHAUST,11,3408
Evans VolteX Pf arrange,NOVICE,5,-1
Evans VolteX Pf arrange,ADVANCED,9,-1
Evans VolteX Pf arrange,EXHAUST,15,3970
Evans VolteX Pf arrange,HEAVENLY,18,6192
Iterator,NOVICE,2,-1
Iterator,ADVANCED,8,-1
Iterator,EXHAUST,10,2784
It's over,NOVICE,1,-1
It's over,ADVANCED,8,-1
It's over,EXHAUST,12,3351
It's over,INFINITE,13,4163
ALBIDA Powerless Mix,NOVICE,5,-1
ALBIDA Powerless Mix,ADVANCED,10,-1
ALBIDA Powerless Mix,EXHAUST,13,3402
ALBIDA Powerless Mix,INFINITE,17,4782
RED ZONE NeoClassical Party Remix,NOVICE,4,-1
RED ZONE NeoClassical Party Remix,ADVANCED,11,-1
RED ZONE NeoClassical Party Remix,EXHAUST,14,3797
冥 Rockin' SWING REMIX,NOVICE,6,-1
冥 Rockin' SWING REMIX,ADVANCED,13,3989
冥 Rockin' SWING REMIX,EXHAUST,16,6271
冥 Rockin' SWING REMIX,INFINITE,18,8746
遠く Dexholic Mix,NOVICE,2,-1
遠く Dexholic Mix,ADVANCED,6,-1
遠く Dexholic Mix,EXHAUST,11,3085
Diamond Dust Black Diamond Dust,NOVICE,4,-1
Diamond Dust Black Diamond Dust,ADVANCED,8,-1
Diamond Dust Black Diamond Dust,EXHAUST,12,3279
Xepher Light and Darkness Dragon REMIX,NOVICE,5,-1
Xepher Light and Darkness Dragon REMIX,ADVANCED,9,-1
Xepher Light and Darkness Dragon REMIX,EXHAUST,16,4072
Xepher Light and Darkness Dragon REMIX,GRAVITY,18,6358
Second Heaven Lamaze-REMIX,NOVICE,3,-1
Second Heaven Lamaze-REMIX,ADVANCED,8,-1
Second Heaven Lamaze-REMIX,EXHAUST,13,3884
サイコパスコミュニケーション,NOVICE,4,-1
サイコパスコミュニケーション,ADVANCED,7,-1
サイコパスコミュニケーション,EXHAUST,10,3348
サイコパスコミュニケーション,INFINITE,13,4083
Vampire Killer scar-ed Pf rmx,NOVICE,2,-1
Vampire Killer scar-ed Pf rmx,ADVANCED,6,-1
Vampire Killer scar-ed Pf rmx,EXHAUST,12,2904
U&M,NOVICE,2,-1
U&M,ADVANCED,5,-1
U&M,EXHAUST,8,2552
ヤサイマシ☆ニンニクアブラオオメ,NOVICE,4,-1
ヤサイマシ☆ニンニクアブラオオメ,ADVANCED,8,-1
ヤサイマシ☆ニンニクアブラオオメ,EXHAUST,13,3582
ヤサイマシ☆ニンニクアブラオオメ,INFINITE,16,4412
FLOWER REDALiCE Remix,NOVICE,6,-1
FLOWER REDALiCE Remix,ADVANCED,11,-1
FLOWER REDALiCE Remix,EXHAUST,16,6060
FLOWER REDALiCE Remix,INFINITE,18,7106
不思議玩具ガンガラディンドン,NOVICE,5,-1
不思議玩具ガンガラディンドン,ADVANCED,8,-1
不思議玩具ガンガラディンドン,EXHAUST,14,3633
wound,NOVICE,3,-1
wound,ADVANCED,8,-1
wound,EXHAUST,11,3323
neu BSP style,NOVICE,4,-1
neu BSP style,ADVANCED,9,-1
neu BSP style,EXHAUST,16,4072
TYCOON,NOVICE,5,-1
TYCOON,ADVANCED,10,-1
TYCOON,EXHAUST,15,4151
TYCOON,INFINITE,17,5506
世界はネコのもの,NOVICE,2,-1
世界はネコのもの,ADVANCED,6,-1
世界はネコのもの,EXHAUST,12,3120
cloud,NOVICE,4,-1
cloud,ADVANCED,8,-1
cloud,EXHAUST,12,3016
cloud,HEAVENLY,17,3960
RPGシンドローム,NOVICE,5,-1
RPGシンドローム,ADVANCED,10,-1
RPGシンドローム,EXHAUST,13,4502
春色ポートレート,NOVICE,1,-1
春色ポートレート,ADVANCED,4,-1
春色ポートレート,EXHAUST,7,2084
ソラヘドライブ,NOVICE,3,-1
ソラヘドライブ,ADVANCED,8,-1
ソラヘドライブ,EXHAUST,12,3170
キミノメヲ,NOVICE,3,-1
キミノメヲ,ADVANCED,9,-1
キミノメヲ,EXHAUST,12,3762
カーニバル,NOVICE,4,-1
カーニバル,ADVANCED,10,-1
カーニバル,EXHAUST,14,5062
おにゃのこ　きねんび,NOVICE,5,-1
おにゃのこ　きねんび,ADVANCED,9,-1
おにゃのこ　きねんび,EXHAUST,13,4150
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,NOVICE,5,-1
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,ADVANCED,10,-1
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,EXHAUST,15,3855
恋する☆宇宙戦争っ！！ あばばばみっくす,NOVICE,6,-1
恋する☆宇宙戦争っ！！ あばばばみっくす,ADVANCED,12,-1
恋する☆宇宙戦争っ！！ あばばばみっくす,EXHAUST,15,4417
恋する☆宇宙戦争っ！！ あばばばみっくす,INFINITE,15,4147
レトロスペクティビリー・メリーゴーランド,NOVICE,2,-1
レトロスペクティビリー・メリーゴーランド,ADVANCED,7,-1
レトロスペクティビリー・メリーゴーランド,EXHAUST,12,3700
香港功夫大旋風,NOVICE,6,-1
香港功夫大旋風,ADVANCED,11,-1
香港功夫大旋風,EXHAUST,16,5283
香港功夫大旋風,GRAVITY,17,6291
Nyan Cat,NOVICE,2,-1
Nyan Cat,ADVANCED,8,-1
Nyan Cat,EXHAUST,13,3030
Nyan Cat,INFINITE,16,3524
.59 -BOOTH BOOST REMIX-,NOVICE,4,-1
.59 -BOOTH BOOST REMIX-,ADVANCED,8,-1
.59 -BOOTH BOOST REMIX-,EXHAUST,13,3484
.59 -BOOTH BOOST REMIX-,HEAVENLY,17,4560
SOUL EXPLOSION,NOVICE,4,-1
SOUL EXPLOSION,ADVANCED,9,-1
SOUL EXPLOSION,EXHAUST,13,3601
SOUL EXPLOSION,EXCEED,17,4552
Space Diver Tama,NOVICE,3,-1
Space Diver Tama,ADVANCED,8,-1
Space Diver Tama,EXHAUST,15,3815
Space Diver Tama,HEAVENLY,17,5571
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,NOVICE,3,-1
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,ADVANCED,7,-1
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,EXHAUST,12,3825
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,HEAVENLY,17,5974
君にエールを・・・！ （DJ UTO REMIX）,NOVICE,5,-1
君にエールを・・・！ （DJ UTO REMIX）,ADVANCED,10,-1
君にエールを・・・！ （DJ UTO REMIX）,EXHAUST,14,3947
caramel ribbon,NOVICE,4,-1
caramel ribbon,ADVANCED,9,-1
caramel ribbon,EXHAUST,13,3538
caramel ribbon,INFINITE,16,4438
Onigo,NOVICE,6,-1
Onigo,ADVANCED,11,-1
Onigo,EXHAUST,16,5227
Onigo,HEAVENLY,18,5862
Ignited Night burst,NOVICE,5,-1
Ignited Night burst,ADVANCED,10,-1
Ignited Night burst,EXHAUST,14,3993
天ノ弱,NOVICE,3,-1
天ノ弱,ADVANCED,9,-1
天ノ弱,EXHAUST,13,4008
天ノ弱,INFINITE,17,5469
World Vertex,NOVICE,4,-1
World Vertex,ADVANCED,12,-1
World Vertex,EXHAUST,14,4599
World Vertex,GRAVITY,16,5885
freaky freak,NOVICE,4,-1
freaky freak,ADVANCED,12,-1
freaky freak,EXHAUST,15,4968
freaky freak,GRAVITY,17,6367
Fire Strike,NOVICE,3,-1
Fire Strike,ADVANCED,9,-1
Fire Strike,EXHAUST,13,4169
Fire Strike,HEAVENLY,17,5707
Distorted Floor,NOVICE,6,-1
Distorted Floor,ADVANCED,11,-1
Distorted Floor,EXHAUST,15,4624
Distorted Floor,INFINITE,17,5861
SEED (DJ Noriken Remix),NOVICE,7,-1
SEED (DJ Noriken Remix),ADVANCED,12,-1
SEED (DJ Noriken Remix),EXHAUST,14,3831
Clione Hommarju Remix,NOVICE,3,-1
Clione Hommarju Remix,ADVANCED,8,-1
Clione Hommarju Remix,EXHAUST,12,3990
GAMBOL (dfk SLC rmx),NOVICE,3,-1
GAMBOL (dfk SLC rmx),ADVANCED,10,-1
GAMBOL (dfk SLC rmx),EXHAUST,13,3806
GAMBOL (dfk SLC rmx),INFINITE,16,4576
Ganymede kamome mix,NOVICE,6,-1
Ganymede kamome mix,ADVANCED,11,-1
Ganymede kamome mix,EXHAUST,17,5487
Ganymede kamome mix,INFINITE,19,7429
炉心融解,NOVICE,2,-1
炉心融解,ADVANCED,7,-1
炉心融解,EXHAUST,11,2982
炉心融解,INFINITE,13,4013
六兆年と一夜物語,NOVICE,3,-1
六兆年と一夜物語,ADVANCED,10,-1
六兆年と一夜物語,EXHAUST,14,3605
六兆年と一夜物語,INFINITE,16,5097
恋愛勇者,NOVICE,3,-1
恋愛勇者,ADVANCED,8,-1
