          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
ピアノ独奏無言歌 "灰燼",MAXIMUM,19,COMPLETE,AA+,9500000,7622,1,1,0,0
Corrupting Wonderland,MAXIMUM,18,EXCESSIVE COMPLETE,S,9996165,7383,4,4,0,0
神っぽいな,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9895993,3993,1,1,0,0
GOODTEK,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9826235,6789,1,1,0,0
サクラノソバニ！,MAXIMUM,17,EXCESSIVE COMPLETE,S,9981751,6477,1,1,0,0
THE WORLD REVOLVING,MAXIMUM,18,EXCESSIVE COMPLETE,S,9979903,7581,5,5,0,0
DATAERR0R,MAXIMUM,18,PERFECT,S,10000000,6050,6,6,1,1
Decadence Mission,MAXIMUM,18,PERFECT,S,10000000,6035,4,4,1,1
Berry Go!!,MAXIMUM,17,EXCESSIVE COMPLETE,S,9932639,5301,1,1,0,0
Memory Flow,MAXIMUM,18,COMPLETE,AAA,9787542,5624,1,1,0,0
勇者の卒業式,MAXIMUM,17,ULTIMATE CHAIN,S,9994910,5597,1,1,1,0
蝕,MAXIMUM,18,PLAYED,AAA+,9865853,6509,1,0,0,0
火狐之舞,MAXIMUM,18,PLAYED,AAA+,9881059,7262,1,0,0,0
EncorE & cALL,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9887035,8719,4,1,0,0
Wings to fly high,MAXIMUM,18,PLAYED,S,9936305,7338,1,0,0,0
AIM HIGHER,MAXIMUM,18,PLAYED,AAA+,9881329,5808,2,0,0,0
All for One,MAXIMUM,18,PLAYED,AAA+,9836480,6684,1,0,0,0
AμreoLe ~for Triumph~,MAXIMUM,19,PLAYED,AAA+,9846666,7127,3,0,0,0
XHRONOXAPSULΞ,EXHAUST,18,EXCESSIVE COMPLETE,S,9914285,6022,1,1,0,0
XHRONOXAPSULΞ,MAXIMUM,20,PLAYED,AA+,9669491,6830,5,0,0,0
ZEUS,EXHAUST,17,ULTIMATE CHAIN,S,9996140,6827,1,1,1,0
ZEUS,MAXIMUM,19,PLAYED,AAA+,9869466,9316,3,0,0,0
ピアノ協奏曲第１番”蠍火”,EXHAUST,17,ULTIMATE CHAIN,S,9984646,4621,3,3,1,0
